,İLAN ADI,MAHALLE,FİYAT,NET(m²),BRÜT(m²),ODA-SALON SAYISI,ODA SAYISI,SALON SAYISI,BANYO SAYISI,FOTOĞRAF SAYISI,BİNA KAT SAYISI,BULUNDUĞU KAT,YAPI DURUMU,ISITMA,BİNA YAŞI,AİDAT,KİRA GETİRİSİ
139,CENTURY21.SAHRA'DAN AYŞEKADIN'DA 4 YILLIK 3+1 HAVUZLU İÇİ YAPILI,Kozyatağı,7.395.000,100,135,3+1,3,1,2,24,10-20 arası,12,,Klima,4,0,0
140,CENTURY 21.SAHRA'DAN KAYA SİTESİNDE 3+1ÇOCUK OYUN PARKI&GÜVENLİK,Bostancı,2.950.000,110,135,,,,,21,10-20 arası,7,,Merkezi Sistem,26-30 arası,350,0
141,ACIBADEM CADDE YAKINI TERASLI ÖZEL DUBLEKS,Acıbadem,3.500.000,113,135,4+1,4,1,2,27,4,4,,Kombi (Doğalgaz),26-30 arası,0,0
142,KOZYATAĞINDA KATTA TEK 125M2 NET 3+1 YENİ BİNA,19 Mayıs,7.450.000,125,160,3+1,3,1,2,31,7,4,İkinci El,Kombi (Doğalgaz),16-20 arası,,
143,SUADİYE'DE SATILIK 3+1 150m2 BRÜT MİMARİ YAPILI DAİRE,Suadiye,8.350.000,120,150,3+1,3,1,2,29,10,4,,Klima,6-10 arası,500,0
144,CENTURY 21.SAHRA'DAN SUADİYE'DE BAHÇE KULLANIMLI 2+1 İÇİ YAPILI,Suadiye,4.250.000,110,135,,,,,20,3,Bahçe katı,,Klima,6-10 arası,0,0
145,"YENİ BİNADA, EBEVEYN BANYOLU 2+1 SATILIK DAİRE",Kozyatağı,4.500.000,70,90,2+1,2,1,2,18,10-20 arası,1,,Klima,4,270,0
146,KOZZY AVM YAKINI İÇİ TAMAMEN YENİLENMİŞ 3+1 100M2,Kozyatağı,4.450.000,100,135,3+1,3,1,1,19,6,3,İkinci El,Kombi (Doğalgaz),26-30 arası,,
147,SUADİYEDE İÇİ TAMAMEN YENİLENMİŞ 120M2 NETİ OLAN 3+1,Suadiye,5.950.000,120,145,3+1,3,1,2,17,9,7,İkinci El,Kombi (Doğalgaz),21-25 arası,,
148,KOZYATAĞINDA İÇİ TAMAMEN YENİLENMİŞ 3+1 100M2 NETİ OLAN,Kozyatağı,3.950.000,100,120,3+1,3,1,1,15,9,5,İkinci El,Merkezi Sistem,26-30 arası,,
149,SAHRAİCEDİTTE AZ KATLI BİNADA YÜSEK GİRİŞ 2+1 KOMBİLİ  FIRSAT,Sahrayı Cedit,2.500.000,70,95,2+1,2,1,1,2,3,Yüksek Giriş,İkinci El,Kombi (Doğalgaz),26-30 arası,100,
150,FENERBAHÇE'DE SIFIR 125M2 EBEVEYN BANYOLU BALKONLU LÜKS,Fenerbahçe,9.650.000,95,125,3+1,3,1,2,14,9,7,Sıfır,Kombi (Doğalgaz),0,,
151,Sea View 3+1 Investment in Kadıköy *TURKISH CITIZENSHIP,Fikirtepe,7.250.000,137,162,3+1,3,1,2,12,20 ve üzeri,14,,Merkezi Sistem (Isı Payı Ölçer),0,0,0
152,SATILIK KADIKOY HASANPAŞA,Hasanpaşa,2.800.000,62,70,1+1,1,1,1,6,5,2,İkinci El,Kalorifer (Doğalgaz),21-25 arası,50,10.000
153,Zühtüpaşa Mahallesi' nde Bahçe Kullanımlı 2+1 Satılık Daire,Zühtüpaşa,3.150.000,65,80,,,,,23,5,Bahçe katı,,Merkezi Sistem,31-35 arası,300,0
154,SUADİYE MERKEZDE YENİ BİNADA SATILIK 1+1,Suadiye,3.650.000,50,65,,,,,26,7,Giriş Katı,,Klima,4,0,0
155,ACIBADEM CADDESİ ÜZERİNDE SATILIK DAİRE,Acıbadem,10.000.000,127,140,3+1,3,1,2,8,5,3,,Klima,3,0,0
156,KADIKÖY BAHARİYE CADDESİ'NE YAKIN SATILIK 1+1 DAİRE,Osmanağa,3.100.000,50,55,1+1,1,1,1,10,3,1,İkinci El,Kombi (Doğalgaz),11-15 arası,,
157,"MODERN TASARIMI ,KALİTESİ VE KONUMUYLA EŞSİZ DAİRE..",Acıbadem,7.500.000,105,125,3+1,3,1,2,10,5,1,,Klima,6-10 arası,0,0
158,CENTURY 21.SAHRA'DAN MARMARAYA YAKIN İÇİ YAPILI 2+1,Erenköy,3.400.000,90,110,2+1,2,1,2,5,4,4,,Merkezi Sistem,31-35 arası,0,0
159,OZZ TEAM' DEN BAĞDAT CADDESİNE CEPHE OFİS KULLANIMINA UYGUN 2+1,Fenerbahçe,3.500.000,74,85,,,,,16,4,2,,Kombi (Doğalgaz),31-35 arası,70,0
160,OZZ TEAM' DEN ZÜHTÜPAŞA' DA DÖNÜŞÜM POTANSİYELLİ SATILIK 2+1,Zühtüpaşa,4.300.000,75,95,,,,,15,4,1,,Kombi (Doğalgaz),31-35 arası,0,0
161,FENERYOLUNDA TREN -MİNİBÜS ARASINDA KİRACILI KOMBİLİ,Feneryolu,4.500.000,70,80,2+1,2,1,1,8,8,5,İkinci El,Kombi (Doğalgaz),3,100,14.000
162,KADIKÖY KOZYATAĞI DUBLEKS,19 Mayıs,8.500.000,155,200,4+1,4,1,2,15,6,6,İkinci El,Merkezi Sistem,4,0,0
163,Kızıltoprak Fenerbahçe Stat Karşısı Marmaray Metrobüs Yakın,Zühtüpaşa,4.500.000,92,130,3+1,3,1,1,24,5,5,İkinci El,Merkezi Sistem,26-30 arası,0,0
164,DİNAMİK'TEN SUADİYE'DE MİNİBÜS YOLU ÜZERİNDE 3+1 SATILIK DAİRE,Suadiye,4.600.000,75,100,2+1,2,1,1,24,9,6,,Merkezi Sistem,3,,
165,ERENKÖY DE 125M2 NETİ OLAN 3+1İÇİ TAMAMEN YENİLENMİŞ,Erenköy,5.950.000,125,150,3+1,3,1,1,26,9,5,İkinci El,Merkezi Sistem (Isı Payı Ölçer),26-30 arası,,
166,ŞENESENEVLERDE KATTA TEK165M2 NET 3+1 İÇİ TAMAMEN YENİLENMİŞ,Kozyatağı,5.150.000,165,175,3+1,3,1,1,17,8,2,İkinci El,Merkezi Sistem,26-30 arası,,
167,OZZ TEAM' DEN SUADİYE EMİN ALİ PAŞA CAD. ÜZERİ SATILIK 2+1 DAİRE,Suadiye,3.000.000,62,80,,,,,1,4,Zemin Kat,,Kombi (Doğalgaz),0,0,0
168,3 Months to Key Delivery *Available for TURKISH CITIZENSHIP,Merdivenköy,6.800.000,102,140,3+1,3,1,2,,10,10,,Kombi (Doğalgaz),0,0,0
169,BOŞ ..19 MAYIS MAHALLESİNDE KOMBİLİ 85 M2 NET ÖNÜ AÇIK 2+1 DAİRE,19 Mayıs,5.500.000,85,115,2+1,2,1,2,19,8,8,,Kombi (Doğalgaz),4,,
170,FENERYOLU ÖZGÜRLÜK PARKINA YAKIN 155M2 ÇİFT BALKONLU ULTRA LÜKS,Feneryolu,6.450.000,130,155,3+1,3,1,2,28,7,4,İkinci El,Merkezi Sistem (Isı Payı Ölçer),31-35 arası,,
171,SUADİYE BAĞDATA YAKIN YENİ BİNADA 105M2 BALKONLU ULTRA LÜKS,Suadiye,6.975.000,80,105,2+1,2,1,1,17,10-20 arası,3,İkinci El,Kombi (Doğalgaz),11-15 arası,,
172,ALKAYA'DAN SUADİYE BAĞDAT YAKININDA SATILIK 3+1 LÜKS DAİRE,Caddebostan,8.750.000,115,150,3+1,3,1,2,31,8,3,Sıfır,Kombi (Doğalgaz),21-25 arası,0,25.000
173,ALKAYA'DAN BAĞDAT'A ÇOK YAKIN ARA KATTA BALKONKLU  SATILIK 2+1,Suadiye,5.850.000,75,100,2+1,2,1,1,26,8,,İkinci El,Kombi (Doğalgaz),5,280,18.000
174,ALKAYA'DAN SUADİYE HAZAN SK ÜZERİNDE SATILIK BALKONLU 1+1 DAİRE,Suadiye,4.100.000,55,70,1+1,1,1,1,30,3,2,İkinci El,Kombi (Doğalgaz),3,0,4.500
175,ALKAYA'DAN SUADİYE BAĞDAT CD 3.BİNADA SATILIK HAVUZLU 4+1 DAİRE,Suadiye,14.750.000,170,220,4+1,4,1,2,31,10,2,Sıfır,Merkezi Sistem,26-30 arası,0,45.000
176,ALKAYA'DAN SUADİYE VİLLA TADINDA BAHÇELİ SATILIK 1+1 DAİRE,Suadiye,4.250.000,55,70,1+1,1,1,2,31,8,Giriş Katı,İkinci El,Kombi (Doğalgaz),3,250,15.000
177,ALKAYA'DAN FENERBAHÇE DALYAN'DA SATILIK 125 m NET YENİ DAİRE,Fenerbahçe,13.950.000,125,160,3+1,3,1,2,29,9,5,İkinci El,Kombi (Doğalgaz),4,0,0
178,ALKAYA'DAN BOSTANCI METRO VE MİNİBÜS CD YAKINI SATILIK 3+1 DAİRE,Bostancı,3.590.000,115,145,3+1,3,1,1,30,8,8,İkinci El,Kombi (Doğalgaz),26-30 arası,0,0
179,ALKAYA'DAN SUADİYE EMİNALİPAŞA CD ÜZERNDE SATILIK 3+1 LÜKS DAİRE,Suadiye,5.300.000,100,135,3+1,3,1,2,31,4,1,İkinci El,Kombi (Doğalgaz),26-30 arası,0,13.000
180,ALKAYA'DAN KOZYATAĞI'NDA SATILIK BALKONLU DAİRE 110 M² NET 3+1,19 Mayıs,5.800.000,110,135,3+1,3,1,2,31,10-20 arası,7,İkinci El,Merkezi Sistem (Isı Payı Ölçer),6-10 arası,0,0
181,ALKAYA'dan SUADİYE'DE BAĞDAT'A ÇOK YAKIN 2+1 SATILIK YENİ DAİRE,Suadiye,5.050.000,68,100,2+1,2,1,1,31,8,2,İkinci El,Kombi (Doğalgaz),3,0,14.000
182,ALKAYA'DAN BOSTANCI SİTELER BÖLGESİNDE SATILIK 3+1 ARA KAT DAİRE,Bostancı,4.500.000,110,135,3+1,3,1,1,27,7,6,İkinci El,Kombi (Doğalgaz),21-25 arası,400,13.000
183,ALKAYA'DAN SUADİYE AYŞE ÇAVUŞ'DA MARMARYA 5 DK SATILIK 3+1 DAİRE,Suadiye,6.450.000,90,120,3+1,3,1,1,31,9,2,İkinci El,Kombi (Doğalgaz),4,400,18.000
184,ALKAYA'DAN SUADİYE BAĞDAT  YAKININDA SATILIK 3+1 LÜKS DAİRE,Suadiye,8.750.000,115,150,3+1,3,1,2,30,8,3,Sıfır,Kombi (Doğalgaz),21-25 arası,0,35.000
185,ALKAYA'DAN SUADİYE AYŞE ÇAVUŞTA SATILIK 2+1 BALKONLU DAİRE,Suadiye,5.250.000,70,100,2+1,2,1,1,28,10-20 arası,3,İkinci El,Kombi (Doğalgaz),4,0,16.000
186,F.BAHÇE 12 YILLIK GENÇ BİNADA 140M2 BALKONLU ULTRA LÜKS,Fenerbahçe,9.500.000,110,140,3+1,3,1,2,25,10-20 arası,5,İkinci El,Kombi (Doğalgaz),11-15 arası,,
187,Feneryolu'nda merkezi konumda yepyeni 200 m2 4+1 dublex daire,Feneryolu,8.950.000,160,200,4+1,4,1,2,28,7,7,,Kombi (Doğalgaz),4,210,0
188,Caddebostan Ragıp Paşa Korusu Sitesi 6+1 Saunalı Bahçe Dubleks,Caddebostan,30.000.000,251,314,6+1,6,1,3,32,3,Giriş Katı,,Merkezi Sistem (Isı Payı Ölçer),26-30 arası,0,0
189,ALKAYA GAYRİMEKULDEN SATILIK HAVUZLU GENİŞ SATILIK 4+1 DAİRE,Suadiye,14.750.000,160,200,4+1,4,1,2,26,10,2,Sıfır,Kombi (Doğalgaz),26-30 arası,600,30.000
190,ALKAYA- ERENKÖY MERKEZİ KONUMDA BALKON 3+1 115NET SATILIK DAİRE,Göztepe,7.395.000,115,135,3+1,3,1,2,31,9,8,Sıfır,Kombi (Doğalgaz),3,0,22.000
191,ALKAYA-BAĞDAT CADDESİNE 4DK GENÇ BİNADA 3+1 SATILIK DAİRE,Suadiye,7.690.000,95,130,3+1,3,1,2,31,9,4,Sıfır,Kombi (Doğalgaz),6-10 arası,0,0
192,ALKAYA'DAN SUADİYE'DE VİLLA TADINDA BAHÇELİ 1+1 SATILIK DAİRE,Suadiye,4.250.000,55,65,1+1,1,1,1,26,8,Giriş Katı,Sıfır,Kombi (Doğalgaz),3,0,0
193,ALKAYA-EMİNALİPAŞA CAD. 2.BİNA 4 YAŞINDA 2+1 80M² SATILIK DAİRE,Suadiye,5.200.000,60,80,2+1,2,1,1,31,8,7,Sıfır,Kombi (Doğalgaz),4,280,18.000
194,ALKAYA'DAN SUADİYE'DE 2001 YAPIMI 115M² NET 3+1 SATILIK DAİRE,Suadiye,8.750.000,115,140,3+1,3,1,2,31,8,3,Sıfır,Kombi (Doğalgaz),21-25 arası,0,0
195,ALKAYA- ERENKÖY'DE GENÇ BİNADA 4+1 140M² NET SATILIK DAİRE,Erenköy,9.500.000,140,180,4+1,4,1,3,22,10-20 arası,12,Sıfır,Kombi (Doğalgaz),1,0,0
196,ALKAYA'DAN SUADİYE ŞAŞKINBAKKAL'DA SATILIK 3+1 DAİRE- 120 M² NET,Suadiye,8.250.000,120,135,3+1,3,1,2,31,9,7,İkinci El,Kombi (Doğalgaz),31-35 arası,0,0
197,ALKAYA- SUADİYE ŞAŞKINDA SATILIK 105M² NET 3+1 BALKONLU DAİRE,Suadiye,3.550.000,105,130,3+1,3,1,2,20,3,1,İkinci El,Kombi (Doğalgaz),40 ve üzeri,0,12.000
198,KOZYATAĞI Metroya Yakın Satılık 2+1 Ferah Daire,19 Mayıs,3.200.000,86,100,2+1,2,1,1,,10-20 arası,10,İkinci El,Merkezi Sistem,31-35 arası,,
199,CENTURY 21.SAHRA'DAN ÇATALŞEME'DE İÇİ YAPILI 3+1 120 M2 NET,Suadiye,7.895.000,120,150,,,,,6,,,,,,0,0
200,Fenerbahçe Wyndham Otel karşısı Katta Tek Balkonlu,Fenerbahçe,8.000.000,130,160,4+1,4,1,2,17,6,4,,Klima,26-30 arası,250,0
201,KOZZY AVM İLE METRO YAKINI BALKONLU KULLANIŞLI 3 YAŞINDA 3+1 DAİ,Kozyatağı,5.850.000,95,125,3+1,3,1,2,13,10,4,İkinci El,Merkezi Sistem (Isı Payı Ölçer),3,,
202,"BOSTANCI LUNAPARK YAKINI ULAŞIMI KOLAY,YATIRIM DEĞERİ YÜKSEK 3+1",Bostancı,4.450.000,125,150,3+1,3,1,2,16,10-20 arası,10,İkinci El,Kombi (Doğalgaz),21-25 arası,500,0
203,ALKAYA YETKİLİ -SUADİYE'DE BAĞDAT'A ÇOK YAKIN 2+1 SATILIK DAİRE,Suadiye,5.050.000,70,100,2+1,2,1,1,16,8,2,Sıfır,Kombi (Doğalgaz),3,0,16.000
204,ALKAYA- GÖZTEPEDE 4+1 KATTA TEK GENÇ BİNADA 180M² NET SATILIK,Göztepe,13.000.000,180,220,4+1,4,1,2,15,7,2,Sıfır,Kombi (Doğalgaz),4,0,0
205,Göztepe Pırlanta Residence'da Havuz Başında Keyifle Yaşayacağını,Fikirtepe,2.900.000,66,84,1+1,1,1,1,12,20 ve üzeri,1,İkinci El,Klima,4,0,0
206,DALYAN SAHİLDE SIFIR 170M2  BALKONLU ULTRA  LÜKS,Fenerbahçe,13.500.000,135,170,3+1,3,1,2,12,10-20 arası,,Sıfır,Merkezi Sistem (Isı Payı Ölçer),0,,
207,KALAMIŞ SAHİLDE SIFIR 215M2 GÜVENLİKLİ SİTE İÇİNDE 3 BALKONLU,Fenerbahçe,14.500.000,182,215,3+1,3,1,2,10,3,1,Sıfır,Kombi (Doğalgaz),0,,
208,Kadıköy Feneryolu'nda Satılık 3+1 Daire Nezih Apt Otoparklı,Feneryolu,4.850.000,120,135,3+1,3,1,1,,6,1,İkinci El,Merkezi Sistem (Isı Payı Ölçer),26-30 arası,,
209,ALKAYA'DAN GÖZTEPE'DE 2+1 SATILIK DAİRE BALKONLU ÇİFT WCLİ,Göztepe,3.375.000,85,115,2+1,2,1,2,31,3,,İkinci El,Merkezi Sistem,36-40 arası,0,6.500
210,Dinamik'ten Eğitim Mahallesinde Minibüs Caddesine 4.Bina Dublex,Eğitim,4.250.000,120,150,2+2,2,2,3,26,7,7,,Kombi (Doğalgaz),26-30 arası,0,0
211,WEN CADDE'DEN SUADİYEDE YENİ BİNADA SATILIK 3+1 DAİRE,Suadiye,5.950.000,120,148,3+1,3,1,2,27,10-20 arası,5,İkinci El,Kombi (Doğalgaz),4,300,15.000
212,ALKAYA-KALAMIŞ MARİNA 3+1 GENİŞ MUTFAKLI SATILIK DAİRE,Fenerbahçe,11.950.000,105,138,3+1,3,1,2,19,9,8,Sıfır,Kombi (Doğalgaz),0,0,0
213,MODA CADDESİ ÜSTÜ 9 YILLIK İSKANLI BALKONLU 3.KAT 200m2 SATILIK,Caferağa,14.000.000,160,200,3+1,3,1,2,31,6,3,İkinci El,Kombi (Doğalgaz),6-10 arası,600,20.000
214,Fenerbahçe Deniz - Marina ve Doğa Manzaralı Yüzme Havuzlu,Fenerbahçe,63.500.000,420,550,4+2,4,2,4,6,10-20 arası,13,Sıfır,Merkezi Sistem (Isı Payı Ölçer),0,0,0
215,KALAMIŞ SAHİLDE SIFIR 165M2 GÜVENLİKLİ SİTE İÇİNDE BAHÇE DUBLEKS,Fenerbahçe,12.500.000,140,165,3+1,3,1,2,5,3,Bahçe katı,Sıfır,Kombi (Doğalgaz),0,,
216,WEN CADDE'DEN GÖZTEPEDE DENİZCİLER RESİDENCE SATILIK 3+1 DAİRE,Göztepe,5.500.000,115,150,3+1,3,1,2,16,10-20 arası,1,İkinci El,Merkezi Sistem (Isı Payı Ölçer),6-10 arası,,
217,ALKAYA-EMİNALİPAŞA CADDESİNDE EMSALSİZ ARAKAT GENİŞ LUX 3+1,Suadiye,4.270.000,105,135,3+1,3,1,2,14,4,2,İkinci El,Kombi (Doğalgaz),31-35 arası,0,14.000
218,KOZYATAĞI BAYER CAD.'DE 4 YAŞINDA 2+1 80 M2 YÜKSEK KİRA GETİRİLİ,19 Mayıs,4.750.000,70,80,2+1,2,1,1,9,10-20 arası,13,İkinci El,Merkezi Sistem,4,0,0
219,Göztepe de Eğitim Araştırma Hastane yanı satılık 3+1 daire..,Eğitim,4.450.000,120,140,3+1,3,1,2,24,9,2,,Kombi (Doğalgaz),26-30 arası,400,0
220,Kadıköy Hasanpaşa'da Satılık 170 M2 4+1 Dubleks Daire,Hasanpaşa,4.990.000,150,170,4+1,4,1,1,53,5,Müstakil,,Kombi (Doğalgaz),21-25 arası,120,0
221,Bostancı Mah. 4+1 170 M2 Satılık Sıfır Dubleks Daire,Bostancı,4.450.000,140,170,4+1,4,1,1,29,7,7,,Kombi (Doğalgaz),1,300,0
222,TÜCCARBAŞI MİNİBÜSE 4. BİNADA 155M2 2 BALKONLU ULTRA LÜKS,19 Mayıs,5.750.000,130,155,3+1,3,1,2,18,9,6,İkinci El,Merkezi Sistem,26-30 arası,,
223,Gazhane'de 3+1 Dubleks Satılık Daire,Hasanpaşa,3.400.000,110,120,3+1,3,1,2,27,4,Bahçe katı,,Kombi (Doğalgaz),4,0,0
224,SELAMİÇEŞME BAĞDAT CAD.ÜSTÜNDE 3.KAT İSKANLI 160m2 SATILIK 3+1,Fenerbahçe,7.000.000,140,160,3+1,3,1,1,31,4,3,,Kombi (Doğalgaz),31-35 arası,450,20.000
225,Şaşkınbakkal Sahil 4 Yıllık Binada Kombili Daire,Suadiye,14.750.000,105,140,3+1,3,1,2,22,10-20 arası,4,İkinci El,Kombi (Doğalgaz),4,0,0
226,Suadiye Sahil Teraslı Balkonlu Kombili Satılık 3+2 Daire,Suadiye,25.000.000,175,220,3+2,3,2,3,26,8,8,İkinci El,Kombi (Doğalgaz),4,0,0
227,F.BAHÇE 4 YILLIK 160M2 KATTA TEK BALKONLU LÜKS,Fenerbahçe,13.950.000,125,160,3+1,3,1,2,31,10-20 arası,5,İkinci El,Kombi (Doğalgaz),4,,
228,FENERYOLU'NDA YATIRIMLIK KOMPLE YENİLENMİŞ 3+1 KÖŞE DAİRE,Feneryolu,6.600.000,120,135,3+1,3,1,2,21,4,1,,Kombi (Doğalgaz),31-35 arası,0,0
229,"ACIBADEM İKBALİYE'DE GENİŞ,FERAH 3+1 DAİRE",Acıbadem,3.650.000,117,135,3+1,3,1,1,30,4,Giriş Katı,,Klima,26-30 arası,75,0
230,SAHRAYICEDİT FERİT BEY SOKAKTA GENÇ BİNA SATILIK 3+1 DAİRE,Sahrayı Cedit,5.950.000,100,125,3+1,3,1,2,28,10-20 arası,1,Sıfır,Merkezi Sistem (Isı Payı Ölçer),5,0,0
231,WEN CADDE'DEN GÖZTEPE MİNİBÜSE 4.BİNA İSKANLI DUBLEKS 4+1,Sahrayı Cedit,4.750.000,190,220,4+1,4,1,2,27,9,9,Sıfır,Merkezi Sistem (Isı Payı Ölçer),2,0,0
232,Suadiye'de bağdat caddesine çok yakın 2+1 yepyeni daire,Suadiye,5.975.000,75,95,2+1,2,1,1,21,10-20 arası,1,,Kombi (Doğalgaz),4,650,0
233,ALKAYA'DAN SUADİYE'DE VİLLA TADINDA BAHÇELİ 1+1 SATILIK DAİRE,Suadiye,4.250.000,55,65,1+1,1,1,1,27,8,Giriş Katı,,Klima,3,0,0
234,ALKAYA ERENKÖY 4+1 GÜVENLİKLİ VE HAVUZLU RESIDENCE SATILIK DAİRE,Erenköy,14.950.000,135,170,4+1,4,1,2,31,10-20 arası,18,,Klima,2,775,0
235,GÖZTEPE ÖZGÜRLÜK PARKINADA 3+1KOMBİLİ 110 M2 BİTMEK ÜZERE DAİRE,Göztepe,6.950.000,95,115,3+1,3,1,2,20,8,7,Yapım Aşamasında,Kombi (Doğalgaz),0,0,0
236,Çiftahavuzlar Marmaray Yakın 4+1 Balkonlu Daire,Göztepe,11.450.000,140,185,4+1,4,1,2,19,9,7,İkinci El,Kombi (Doğalgaz),11-15 arası,0,0
237,Kalamış'ta 3+1 Deniz Manzaralı Satılık Daire,Fenerbahçe,7.000.000,110,120,3+1,3,1,1,28,3,3,,Kombi (Doğalgaz),31-35 arası,0,0
238,"ERENKÖY, HACI HAKKI BEY'DE SATILIK 2+1 95 m2",Erenköy,5.575.000,80,95,2+1,2,1,1,15,10-20 arası,3,,Yerden Isıtma,0,0,0
239,Kadıköy Antikacılar Sokağında 2+1 Satılık Daire,Caferağa,3.150.000,70,75,2+1,2,1,1,17,4,2,,Kombi (Doğalgaz),31-35 arası,0,0
240,Bağdat Caddesi'ne yürüme mesafesinde sıfır binada 3+1 satılık,Göztepe,7.250.000,80,95,3+1,3,1,2,36,7,7,,Kombi (Doğalgaz),0,500,0
241,KADIKÖY MERDİVENKÖY'DE SATILIK SIFIR DAİRE,Merdivenköy,8.000.000,112,120,3+1,3,1,2,25,10-20 arası,1,Sıfır,Merkezi Sistem,0,,
242,Erenköy Kız Lisesi Yakın 3+1 4 Yıllık Binada,Göztepe,6.500.000,90,120,3+1,3,1,1,13,10,9,İkinci El,Merkezi Sistem (Isı Payı Ölçer),4,0,0
243,"ACIBADEMDE DEPREM SONRASI, 2008 YAPIMI, K. OTOPARKLI 4+1DUBLEKS",Acıbadem,5.500.000,195,220,4+1,4,1,2,36,4,4,,Kombi (Doğalgaz),11-15 arası,0,0
244,HASIRCIBAŞINDA GİRİŞ KAT 2+1 DAİRE,Osmanağa,3.850.000,76,85,2+1,2,1,1,5,5,Bahçe katı,,Kombi (Doğalgaz),31-35 arası,0,0
245,ETHEM EFENDİ CADDESİ'NDE 3+1 ARA KAT SATILIK DAİRE,Erenköy,5.375.000,105,120,3+1,3,1,1,24,3,1,İkinci El,Merkezi Sistem,31-35 arası,550,
246,Kozzy Yakını 3+1 Satılık Daire,Kozyatağı,5.880.000,97,128,3+1,3,1,2,42,10-20 arası,4,,Merkezi Sistem (Isı Payı Ölçer),3,0,0
247,Çiftehavuzlar Bağdat Caddesi Balkonlu 4+1 Daire,Göztepe,15.000.000,152,200,4+1,4,1,2,8,10-20 arası,3,İkinci El,Merkezi Sistem (Isı Payı Ölçer),2,0,0
248,Kuyubaşı Eğitim Mahallesi'nde Mükemmel Konumda 3+1,Eğitim,4.100.000,101,118,3+1,3,1,1,30,8,5,İkinci El,Merkezi Sistem,31-35 arası,,8.500
249,CADDEBOSTAN SAHİLDE DİNAMİK'TEN 300m2 DENİZ MANZARALI +TERASLI,Caddebostan,16.250.000,240,300,4+2,4,2,4,29,10-20 arası,12,,Klima,0,0,0
250,Fenerbahçe Ordu Evi Dalyan Sahil Kapalı Otoparklı Katta Tek,Fenerbahçe,9.200.000,110,140,3+1,3,1,1,27,10,7,İkinci El,Merkezi Sistem,21-25 arası,0,0
251,Göztepe 3+1 satılık Marmaray yanı ebeveynli 4 yıllık güney cephe,Göztepe,6.650.000,100,128,3+1,3,1,2,36,10-20 arası,3,,Klima,4,400,0
252,SUADİYE BAĞDATA ÇOK YAKIN 225M2 3 BALKONLU HAVUZLU LÜKS,Suadiye,14.750.000,175,225,4+1,4,1,3,24,10,2,İkinci El,Merkezi Sistem (Isı Payı Ölçer),26-30 arası,,
253,"Kadıköy Kadife Sokakta, Yüksek Kira Getirili, Satılık 2+1!",Caferağa,3.695.000,90,110,2+1,2,1,1,22,4,Giriş Katı,,Kombi (Doğalgaz),26-30 arası,0,0
254,Fenerbahçe de muhteşem Deniz Manzaralı içi Komple Yenilenmiş,Fenerbahçe,56.200.000,310,450,4+2,4,2,4,29,4,4,,Klima,6-10 arası,0,0
255,SUADİYEDE SIFIR BİNA BAĞDAT CAD. YÜRÜME MESAFESİNDE 3+1 SATILIK,19 Mayıs,7.000.000,90,120,3+1,3,1,2,31,10-20 arası,1,,Merkezi Sistem (Isı Payı Ölçer),0,0,0
256,Dinamik'ten Göztepe Turkuaz Park Rezidans'ta Deniz Manzaralı 3+1,Göztepe,9.500.000,105,140,3+1,3,1,2,28,20 ve üzeri,16,,Klima,1,550,0
257,SUADİYE ŞAŞKINBAKKAL DA SATILIK 3+1 DAİRE 168 M2,Suadiye,9.000.000,168,190,3+1,3,1,1,33,6,4,,Merkezi Sistem (Isı Payı Ölçer),31-35 arası,260,0
258,Acıbadem de tüm ulaşım imkanlarına yakın satılık geniş 3+1,Acıbadem,4.300.000,110,130,3+1,3,1,1,20,4,4,,Merkezi Sistem,31-35 arası,0,0
259,Kadıköy Suadiye'de Satılık Bahçe Katı Daire,Suadiye,2.920.000,80,95,3+1,3,1,1,5,4,Bahçe katı,,Merkezi Sistem,,,
260,ŞENESENEVLERDE YEMYEŞİL BİR SOKAKTA YENİ BİNADA 90m2 2+1 DAİRE,Bostancı,4.900.000,90,110,2+1,2,1,1,4,9,4,İkinci El,Kombi (Doğalgaz),6-10 arası,190,0
261,CADDEBOSTAN SAHİLDE YENİ BİTECEK PROJEDE KATTA TEK 200 m 4+1,Caddebostan,16.000.000,165,200,4+1,4,1,2,4,10-20 arası,3,Sıfır,Kombi (Doğalgaz),0,0,0
262,Fenerbahçe Kalamış Wyndham Otel Yakın Balkonlu 3+1 Satılık,Fenerbahçe,8.800.000,100,135,3+1,3,1,2,18,10,4,İkinci El,Kombi (Doğalgaz),6-10 arası,0,0
263,SULTAN SOKAKTA GENİŞ 4+1 SATILIKTIR,19 Mayıs,6.150.000,140,180,4+1,4,1,2,17,7,5,İkinci El,Kombi (Doğalgaz),26-30 arası,1.000,10.000
264,Fenerbaheç Dalyan Yüzme Havuzlu Lebiderya Manzaralı Dubleks,Fenerbahçe,30.000.000,220,280,4+1,4,1,3,2,10-20 arası,16,Sıfır,Merkezi Sistem (Isı Payı Ölçer),0,0,0
265,KALAMIŞ CADDE ÜZERİ 105M2 BALKONLU KOMBİLİ ASANSÖR OTOPARKLI LUX,Fenerbahçe,6.295.000,80,105,2+1,2,1,1,16,3,2,İkinci El,Kombi (Doğalgaz),31-35 arası,,
