,İLAN ADI,MAHALLE,FİYAT,NET(m²),BRÜT(m²),ODA-SALON SAYISI,ODA SAYISI,SALON SAYISI,BANYO SAYISI,FOTOĞRAF SAYISI,BİNA KAT SAYISI,BULUNDUĞU KAT,YAPI DURUMU,ISITMA,BİNA YAŞI,AİDAT,KİRA GETİRİSİ
47,Kadıköy de Yatırıma Uygun Teraslı Satılık 4+1,Osmanağa,4.150.000,120,160,4+1,4,1,2,30,5,5,İkinci El,Kalorifer (Doğalgaz),21-25 arası,150,
48,SUADİYE-ÇATALÇEŞME SAHİLE 3. BİNADA 3 YILLIK 120M2 BALKONLU LÜKS,Bostancı,9.875.000,90,120,3+1,3,1,2,24,10-20 arası,1,Sıfır,Kombi (Doğalgaz),3,,
49,Caddebostan Bağdat Caddesi 1. Paralel Sokak 4+1 Satılık,Caddebostan,12.500.000,145,180,4+1,4,1,2,22,10-20 arası,13,Sıfır,Merkezi Sistem (Isı Payı Ölçer),2,0,0
50,Fenerbahçe Marinada Satılık Daire Havuzlu Güvenlikli Site İçi,Fenerbahçe,27.550.000,160,205,4+1,4,1,2,29,4,2,İkinci El,Merkezi Sistem (Isı Payı Ölçer),6-10 arası,,
51,GÖSTEPEDE SIFIR DAİREDE 3+1 NET 95M2,Göztepe,7.400.000,95,125,3+1,3,1,1,30,7,3,İkinci El,Kombi (Doğalgaz),0,,
52,Ç.HAVUZLAR BAĞDATA YAKIN 200M2 KATTA TEK 2 BALKONLU ULTRA LÜKS,Göztepe,10.950.000,160,200,4+1,4,1,3,20,10,1,İkinci El,Merkezi Sistem (Isı Payı Ölçer),21-25 arası,,
53,BOSTANCI MİNİBÜSE YAKIN 95M2 KOMBİLİ OTOPARKLI LÜKS,Bostancı,3.250.000,75,95,2+1,2,1,1,14,8,Yüksek Giriş,İkinci El,Kombi (Doğalgaz),26-30 arası,,
54,Şaşkınbakkal Bağdat Caddesi 2. Bina Balkonlu Masrafsız,Suadiye,5.695.000,85,100,2+1,2,1,2,19,4,2,İkinci El,Kombi (Doğalgaz),36-40 arası,0,0
55,Ethemefendi Caddesi Teraslı Dubleks Daire,Erenköy,17.950.000,220,260,4+2,4,2,4,27,9,9,İkinci El,Yerden Isıtma,6-10 arası,0,0
56,Suadiye Sahil Bahçe Kullanımlı Masrafsız Satılık,Suadiye,9.250.000,100,135,3+1,3,1,2,30,4,Garden Floor,Second Hand,Central System,Between 31-35,0,0
